obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.17056425244126316,-1.0010021924972534,0.0,0.8232399225234985,0.0031508642714470625,-1.0010021924972534,0.0,-0.17557938396930695,0.04203714430332184,2000.0,1.0,-200.0030059814453,0.0,1.0,1,2000,0.9783311486244202,0.000273619923973456
0.0,1.0,0.16067924131698763,-1.853205680847168,0.0,0.8232399225234985,0.0031508642714470625,-1.853205680847168,0.0,0.9121352434158325,0.0948808565735817,2000.0,2.0,-200.0030059814453,0.0,2.0,2,4000,1.8286879062652588,0.0009801349369809031
0.0,1.0,0.15440959267203633,2.198702812194824,2.505007266998291,0.9376074075698853,0.24696826934814453,3.519713878631592,3.035569906234741,0.6607756614685059,0.17582394182682037,873.0,5.0,-486.05999755859375,233.6075897216797,5.0,3,6000,0.692847728729248,70.07418060302734
0.0,1.0,0.1316837837193291,3.5513296127319336,4.173641681671143,0.8773773312568665,0.42088162899017334,3.523268222808838,4.321077823638916,0.9466432332992554,0.23978112637996674,1041.6666666666667,6.0,-462.828369140625,219.48947143554688,6.0,4,8000,-0.4625527560710907,79.79643249511719
0.0,1.0,0.13433062777208765,1.5033011436462402,5.077208995819092,-0.9947123527526855,0.00040288627496920526,1.4171888828277588,5.087625980377197,0.7432289123535156,0.3796258866786957,1178.5714285714287,7.0,-454.58343505859375,204.20889282226562,7.0,5,10000,0.22047923505306244,33.824703216552734
0.0,1.0,0.14838458355742487,0.46221768856048584,6.014411926269531,-0.9958428144454956,0.00026245563640259206,0.41651952266693115,6.0351386070251465,-0.7009538412094116,0.02436046116054058,1281.25,8.0,-422.7608642578125,208.75184631347656,8.0,6,12000,0.9996688961982727,59.159141540527344
0.0,1.0,0.15440959267203638,-1.4198410511016846,6.79351282119751,-0.9956296682357788,0.0005226261564530432,-1.4516658782958984,6.806519031524658,0.9238786697387695,0.33111363649368286,1361.111111111111,9.0,-398.0099792480469,208.89292907714844,9.0,7,14000,2.8387835025787354,198.90184020996094
0.0,1.0,0.1575132254847443,-2.2264370918273926,7.276358604431152,-0.9966188669204712,0.0003974252613261342,-2.241337299346924,7.308065891265869,-0.9967368245124817,0.0003042241733055562,1425.0,10.0,-398.47930908203125,198.17823791503906,10.0,8,16000,3.586305618286133,20.789016723632812
0.0,1.0,0.15136711368692912,-3.7392144203186035,7.693436622619629,-0.9970270991325378,0.0004311390221118927,-3.74241304397583,7.701438903808594,-0.9118636250495911,0.00864784698933363,1477.2727272727273,11.0,-380.43603515625,197.38238525390625,11.0,9,18000,4.547628402709961,48.25603103637695
0.0,1.0,0.14259466822295339,-4.410592079162598,8.295848846435547,-0.9978567361831665,0.00029558828100562096,-4.426611423492432,8.310907363891602,-0.6043932437896729,0.09708696603775024,1520.8333333333333,12.0,-365.3999328613281,195.4484100341797,12.0,10,20000,6.847320556640625,35.2249755859375
0.0,1.0,0.14546082105423475,-5.470046520233154,8.184538841247559,-0.9985044002532959,0.00014813912275712937,-5.488414764404297,8.190961837768555,-0.7105732560157776,0.05828704312443733,1557.6923076923076,13.0,-352.6770935058594,192.88352966308594,13.0,11,22000,8.117354393005371,22.694534301757812
0.0,1.0,0.13703067339030664,-6.309897422790527,8.198690414428711,-0.9988183975219727,9.510268137091771e-05,-6.3471269607543945,8.217589378356934,-0.9932788610458374,0.001611966174095869,1589.2857142857142,14.0,-341.77178955078125,189.98065185546875,14.0,12,24000,10.997061729431152,5.476100444793701
