ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1.7747719,250.175,443.4,11339.405,13,860,258.57610535621643,218109,0.0,1.2536235,0.9294973015785217,0.00092765875,0.0023808766,0.0023808766
1.7574297,250.3,439.4,11283.438,12,872,261.3409368991852,221105,0.0,1.2462789,0.9506709389388561,0.0008434394,0.0029906966,0.0029906966
1.7489796,249.875,436.5,11234.025,12,884,264.04509377479553,224111,0.0,1.2512513,0.9547505974769592,0.001013514,0.005575661,0.005575661
1.7718699,249.3,441.4,11169.615,12,896,266.77047419548035,227092,0.0,1.2449019,0.9566793777048588,0.0006556059,0.0030694555,0.0030694555
1.8121372,249.625,452.0,11098.122,13,909,269.4811758995056,230338,0.0,1.247734,0.9673654697835445,0.00079203374,0.0031500577,0.0031500577
1.7929891,249.9,447.7,11109.727,12,921,272.19515085220337,233348,0.0,1.2446575,0.9659963920712471,0.00095419417,0.0046341512,0.0046341512
1.7845562,250.5,446.5,11104.9,12,933,274.89533138275146,236370,0.0,1.2349838,0.9734736904501915,0.00062956964,0.0035108384,0.0035108384
1.7692019,250.525,442.7,11077.276,13,946,277.629967212677,239610,0.0,1.2217392,0.9665402993559837,0.0007526504,0.002580827,0.002580827
1.8348364,250.125,458.5,11061.296,12,958,280.3292942047119,242602,0.0,1.2281573,0.9767704028636217,0.00077145937,0.004032363,0.004032363
1.851272,249.0,460.75,11017.358,12,970,283.0193705558777,245577,0.0,1.2204221,0.9640012383460999,0.0009139871,0.0038435466,0.0038435466
1.8576353,248.525,461.7,10986.423,13,983,285.72755002975464,248797,0.0,1.2137436,0.9742337353527546,0.00095807755,0.0034870568,0.0034870568
1.7941911,248.775,446.2,10973.85,12,995,288.44138836860657,251807,0.0,1.2170714,0.9618667215108871,0.0007261469,0.0029265927,0.0029265927
1.8110222,248.65,450.2,10961.196,12,1007,291.1302390098572,254784,0.0,1.2167746,0.9712011143565178,0.0006690854,0.0031685978,0.0031685978
1.811681,249.7,451.85,10965.051,12,1019,293.87918066978455,257798,0.0,1.2106386,0.9794354978948832,0.0008525853,0.0031159844,0.0031159844
1.8916197,249.375,471.25,10958.716,13,1032,296.6212782859802,261026,0.0,1.199766,0.9888590844348073,0.00094034633,0.0021258786,0.0021258786
1.8490798,248.05,458.9,10915.738,12,1044,299.33992075920105,263969,0.0,1.1969844,0.9558269828557968,0.0006607407,0.004629242,0.004629242
1.8770692,248.15,466.2,10906.053,13,1057,302.03694796562195,267222,0.0,1.192932,0.9885053914040327,0.0006356872,0.0020557374,0.0020557374
1.8563912,248.525,461.7,10886.987,12,1069,304.7497820854187,270230,0.0,1.1830225,0.9822821822017431,0.00074824673,0.0046677943,0.0046677943
1.8905537,250.35,473.05,10802.633,12,1081,307.52538776397705,273236,0.0,1.186523,0.9806701876223087,0.0006786618,0.006172467,0.006172467
1.8960197,250.0,473.75,10833.884,13,1094,310.2919075489044,276474,0.0,1.1874689,0.9848110685124993,0.00082870835,0.0046374914,0.0046374914
1.9500563,249.425,486.15,10831.305,12,1106,331.92450881004333,279454,0.0,1.1954957,0.995787313207984,0.0008779519,0.0049174917,0.0049174917
1.9672902,249.3,490.15,10864.822,12,1118,334.6802444458008,282455,0.0,1.1910994,0.9915071427822113,0.0009922568,0.0074564195,0.0074564195
1.9863838,249.0,494.5,10942.441,13,1131,337.46756505966187,285690,0.0,1.1903361,0.990810870192945,0.0008554063,0.0036525468,0.0036525468
1.9585354,248.825,487.35,11011.477,12,1143,340.21291399002075,288663,0.0,1.1904076,0.9824120588600636,0.0010062794,0.0039413157,0.0039413157
1.9829834,248.225,492.3,11057.262,12,1155,342.9613528251648,291636,0.0,1.1893989,0.9988525822991505,0.00093012024,0.0053299475,0.0053299475
1.9695282,247.15,486.95,11080.12,13,1168,345.7170362472534,294826,0.0,1.1808759,0.9781394973397255,0.0008415892,0.0035064537,0.0035064537
1.9941734,246.575,491.85,11101.801,12,1180,348.500346660614,297781,0.0,1.1807557,0.9906095704063773,0.00087569485,0.0041799815,0.0041799815
1.968085,246.275,484.95,11051.832,13,1193,351.2508351802826,300990,0.0,1.18091,0.9892191765829921,0.00080604263,0.0043361955,0.0043361955
1.9840218,247.2,490.6,11043.88,12,1205,353.9390277862549,303978,0.0,1.1902772,0.9920988427475095,0.00093060406,0.0047115646,0.0047115646
1.9830987,248.2,492.35,10987.415,12,1217,356.646390914917,306966,0.0,1.1933588,0.9988264981657267,0.0006443519,0.003668705,0.003668705
1.9754118,248.675,491.4,10994.724,13,1230,359.3630247116089,310203,0.0,1.190194,0.9994554583681747,0.0009671215,0.0034858019,0.0034858019
2.0171492,248.95,502.1,11067.512,12,1242,362.04887771606445,313185,0.0,1.1881478,0.9996952283545397,0.00092335296,0.0053728805,0.0053728805
2.0247903,248.475,503.05,11082.45,13,1255,364.7597737312317,316404,0.0,1.1787114,0.9997769223846262,0.0009334345,0.004669363,0.004669363
2.018847,247.9,500.45,11046.781,12,1267,367.6140649318695,319370,0.0,1.177787,0.9913863046094775,0.0007271262,0.0026726245,0.0026726245
2.0224977,247.675,500.9,11098.735,12,1279,370.54435658454895,322339,0.0,1.1652902,0.9988878824515268,0.00092952466,0.0029957064,0.0029957064
