ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-12.018467,564.0,-8294.564,-8050.0,5,5,54.05511116981506,2820,0.0,1.4395766,-0.0001068115234375,0.0008514789,0.00487724,0.00487724
-13.07646,469.46153846153845,-6857.3286,-6615.385,8,13,56.90361046791077,6103,0.0,1.4397601,0.016717076301574707,0.0008981389,0.003494255,0.003494255
-10.497596,432.23809523809524,-5204.8784,-4964.2856,8,21,59.72403264045715,9077,0.0,1.4474887,0.051000893115997314,0.0008263953,0.0031329796,0.0031329796
-10.210105,407.26666666666665,-4698.277,-4458.3335,9,30,62.564372062683105,12218,0.0,1.464572,0.04051333665847778,0.00089567556,0.0046258564,0.0046258564
-9.115433,400.55263157894734,-4148.116,-3907.8948,8,38,65.41726875305176,15221,0.0,1.4694842,0.05697226524353027,0.0009310722,0.0048389775,0.0048389775
-7.25598,355.075,-2815.1758,-3385.4167,10,48,68.27647376060486,18167,0.0,1.4838262,0.16536837816238403,0.0007846711,0.0034281276,0.0034281276
-6.0413895,331.7,-2121.5398,-2275.0,10,58,71.19195008277893,21208,0.0,1.4952186,0.21816980838775635,0.00075037807,0.0036286472,0.0036286472
-5.0474615,312.875,-1636.3187,-1800.0,11,69,74.37345671653748,24448,0.0,1.4960586,0.2179533839225769,0.0005348793,0.002942952,0.002942952
-5.1600327,293.425,-1538.2157,-1350.0,11,80,77.34047102928162,27511,0.0,1.4983464,0.27441781759262085,0.0006408309,0.0030001272,0.0030001272
-5.047277,291.25,-1484.8385,-1280.0,10,90,80.1503734588623,30438,0.0,1.5056819,0.352156400680542,0.0005076818,0.0026857972,0.0026857972
-4.678632,290.325,-1374.002,-1115.0,11,101,82.99445152282715,33664,0.0,1.4963924,0.3932650089263916,0.00069248694,0.0026854395,0.0026854395
-3.6822476,281.825,-1044.2987,-920.0,12,113,85.83338403701782,36857,0.0,1.4808143,0.447887122631073,0.00056973775,0.0021846555,0.0021846555
-3.0362113,281.75,-869.15576,-700.0,11,124,88.80685710906982,39920,0.0,1.4862939,0.4577265977859497,0.00077324855,0.0027252862,0.0027252862
