eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
159.52,-281.83755456,2033,1.3356265e-05,0.0,1.4046365,5.026511e-05,1351.6622,0.558825820684433,360,737280,373.75178202599636,737280
161.69,-279.73686607,1989,4.0457286e-05,0.0,1.4034581,-0.0005384853,1349.8234,0.590399831533432,370,757760,384.0801253539976,757760
166.05,-273.93212234,1993,2.8241031e-05,0.0,1.402561,-9.70024e-05,1558.2322,0.570851743221283,380,778240,394.22818660100165,778240
166.6,-264.38200319000003,2026,4.6644946e-05,0.0,1.4029173,-0.00015763621,1019.04596,0.6542885601520538,390,798720,404.51406823699654,798720
173.53,-232.24950728000005,2002,3.1366202e-05,0.0,1.4024485,1.6193051e-05,1090.9716,0.620718777179718,400,819200,414.7096982009971,819200
171.24,-223.90648178999996,2005,4.7129386e-05,0.0,1.4017605,-0.0001931801,985.06323,0.6847911775112152,410,839680,424.8979091809888,839680
173.4,-226.11982863,2004,3.7101858e-05,0.0,1.4020475,-0.00011103808,877.8424,0.6906576156616211,420,860160,435.16000467799313,860160
176.18,-206.70980317,1986,1.0964592e-05,0.0,1.402507,8.1003265e-05,793.6622,0.7154146730899811,430,880640,445.5142997649964,880640
178.66,-206.40511128999998,2017,0.00044408417,0.00048828125,1.4040279,-4.1719293e-05,1232.9979,0.6400980949401855,440,901120,455.67051447699487,901120
179.01,-199.90898893000002,2016,2.4339744e-05,0.0,1.4045646,0.00019520795,882.99963,0.6913231909275055,450,921600,465.83705313499377,921600
182.36,-208.31308651,2054,0.00013549668,0.00012207031,1.405387,-0.0007256798,959.9036,0.6404247283935547,460,942080,475.94180233399675,942080
176.59,-211.53642016999999,2004,4.140909e-05,0.0,1.4058628,-0.00049602106,1008.0963,0.5754314363002777,470,962560,486.3334588180005,962560
184.51,-187.05160773,2016,2.149408e-05,0.0,1.4039876,-8.5009466e-05,668.55096,0.7220169901847839,480,983040,496.50122193299467,983040
