ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-30.583832,592.2,-17635.895,-17400.0,5,5,40.160178661346436,2961,0.0,1.4273967,-0.0001322031021118164,9.284673e-05,0.0015682407,0.0015682407
-22.634922,567.7,-13216.525,-12975.0,5,10,43.040852785110474,5677,0.0,1.4338311,0.0066849589347839355,9.0294576e-05,0.0012275869,0.0012275869
-18.618387,531.6470588235294,-10443.858,-10205.883,7,17,46.021584033966064,9038,0.0,1.4377388,0.0258636474609375,8.3908904e-05,0.000974055,0.000974055
-20.641365,537.3636363636364,-11579.772,-11340.909,5,22,48.96132206916809,11822,0.0,1.4437028,0.011173486709594727,9.043567e-05,0.0012025301,0.0012025301
-17.870789,494.7096774193548,-9626.947,-9387.097,9,31,51.767147064208984,15336,0.0,1.4467391,0.04603332281112671,8.198951e-05,0.0013134467,0.0013134467
-16.499006,475.7894736842105,-8602.033,-8361.842,7,38,54.684725522994995,18080,0.0,1.4522028,0.08218193054199219,8.594724e-05,0.0011368556,0.0011368556
-13.877861,459.025,-7021.8486,-7961.1113,7,45,57.44789266586304,21322,0.0,1.4549556,0.04817402362823486,8.59575e-05,0.0015140675,0.0015140675
-12.736904,422.975,-5976.5933,-6405.0,9,54,60.23301672935486,24524,0.0,1.4612151,0.06448119878768921,8.681564e-05,0.0012426347,0.0012426347
-11.32366,408.9,-4896.1875,-5525.0,7,61,63.392295360565186,27366,0.0,1.4676499,0.08611220121383667,8.981287e-05,0.0010465727,0.0010465727
-10.833515,384.375,-4401.814,-4350.0,10,71,66.41359972953796,30711,0.0,1.4736873,0.11040377616882324,8.5291664e-05,0.0010710614,0.0010710614
-9.718598,358.075,-3884.5664,-3620.0,10,81,69.40019798278809,33648,0.0,1.4753436,0.20055824518203735,8.227936e-05,0.0009318657,0.0009318657
-8.112843,344.7,-3035.899,-3410.0,9,90,72.36252355575562,36801,0.0,1.4801973,0.12208676338195801,8.44558e-05,0.0014229506,0.0014229506
-7.303136,328.05,-2611.8503,-2670.0,9,99,75.39655923843384,39618,0.0,1.4802312,0.29434698820114136,6.6393426e-05,0.000790685,0.000790685
-6.7873178,315.7,-2289.9836,-2390.0,10,109,78.40370798110962,42812,0.0,1.4845599,0.24876117706298828,8.045408e-05,0.0010621276,0.0010621276
-6.623259,315.525,-2210.1572,-1865.0,11,120,81.38379526138306,46038,0.0,1.4855939,0.3640468716621399,8.1207625e-05,0.00090474944,0.00090474944
-6.7750764,305.25,-2135.2278,-1930.0,10,130,84.57932090759277,49011,0.0,1.4901379,0.2834792733192444,7.280742e-05,0.0010552001,0.0010552001
-5.9589424,307.6,-1885.4299,-1730.0,9,139,87.68942260742188,51922,0.0,1.4901067,0.434375524520874,7.6580676e-05,0.0010506936,0.0010506936
-5.886422,317.35,-1928.6635,-1720.0,9,148,90.84905171394348,55050,0.0,1.4930419,0.24566882848739624,7.281433e-05,0.001261544,0.001261544
-5.7967744,317.1,-1860.2836,-1575.0,10,158,94.03027439117432,58092,0.0,1.4953967,0.5696325600147247,5.775366e-05,0.0009936531,0.0009936531
-4.693021,317.575,-1510.3508,-1415.0,10,168,97.20927548408508,61103,0.0,1.4938978,0.605474442243576,7.156985e-05,0.0008664297,0.0008664297
-4.698503,316.1,-1493.3063,-1215.0,10,178,100.21050477027893,64305,0.0,1.4967027,0.5453698039054871,7.90781e-05,0.0010036911,0.0010036911
-4.079635,302.7,-1244.3201,-1270.0,11,189,103.20901393890381,67443,0.0,1.496847,0.5527262687683105,7.4728996e-05,0.0006744452,0.0006744452
-4.2733345,296.525,-1273.6559,-940.0,11,200,106.20213198661804,70631,0.0,1.4966375,0.6258238255977631,8.4570514e-05,0.001053729,0.001053729
