EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,RewMean,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1108.575,-117.32695,4,146,-0.14902931,236.06103110313416,79658,0.0,1.0814173,0.6738403141498566,0.014861116,0.009370468,0.009370468
1108.675,-117.33694,4,150,-0.14904077,238.72166633605957,81707,0.0,1.0595702,0.9220941066741943,0.0045694197,0.0044307173,0.0044307173
1076.2,-117.33307,4,154,-0.15949963,241.39048624038696,83394,0.0,1.0567634,0.6382423639297485,0.0059152255,0.008294465,0.008294465
1059.375,-117.04982,5,159,-0.16650431,244.0406196117401,85944,0.0,1.1084596,0.9669949002563953,0.011250371,0.013699166,0.013699166
1070.9,-114.20232,2,161,-0.16326459,246.44092106819153,87735,0.0,1.1416218,0.9554686471819878,0.012396674,0.013663571,0.013663571
1048.875,-112.13896,3,164,-0.17117779,249.0452015399933,89913,0.0,1.1280689,0.9854664243757725,0.0126764,0.0140264975,0.0140264975
1031.55,-108.09712,2,166,-0.16911002,251.71632146835327,91956,0.0,1.1281126,0.8525059372186661,0.009633739,0.010587413,0.010587413
926.075,-101.00714,4,170,-0.17169368,254.39527463912964,94038,0.0,1.1433408,0.4703684449195862,0.009770116,0.017095588,0.017095588
818.25,-96.91383,3,173,-0.1735445,257.1279089450836,95821,0.0,1.1508796,0.5363399684429169,0.017095547,0.00842615,0.00842615
741.225,-90.02095,3,176,-0.17408924,259.8567867279053,97676,0.0,1.1461619,0.7149505019187927,0.015709069,0.02249249,0.02249249
736.875,-87.883255,1,177,-0.17286853,262.54128074645996,99181,0.0,1.1159947,0.8607033640146255,0.017208554,0.009687424,0.009687424
745.325,-83.72823,1,178,-0.17036977,265.20483565330505,101182,0.0,1.0863204,0.9265119507908821,0.0048145037,0.008001844,0.008001844
718.625,-87.0965,2,180,-0.1738215,267.88103437423706,103795,0.0,1.1028163,0.7070232331752777,0.010633812,0.0077841473,0.0077841473
680.525,-89.28654,5,185,-0.18454763,270.55329847335815,106462,0.0,1.1274747,0.8714146316051483,0.007836614,0.0065021003,0.0065021003
