obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.208120802,-4.24468994140625,4.126706600189209,-0.9994285106658936,2.493641477485653e-05,-3.2102012634277344,1.6244516372680664,-0.9555683135986328,0.0026503298431634903,-2.9130775928497314,-0.7977312207221985,0.5096906423568726,87.0,2.0,-1073.48095703125,-1073.48095703125,3.751220703125,3.751220703125,3.784299612045288,2.0,1,2000,528.4993803434783,3.2644259929656982,145.0866241455078,0.03973793238401413
0.0,1.0,0.24894317195018423,-3.928187370300293,4.81547212600708,-0.9998315572738647,5.894572495890316e-06,-2.6983320713043213,1.467081069946289,-0.9994933605194092,0.00013782903261017054,-2.7046875953674316,-0.8966073989868164,0.3738360106945038,724.6666666666666,3.0,-782.3215942382812,-782.3215942382812,411.7728576660156,411.7728576660156,7.479091167449951,3.0,2,4000,534.8243403434576,2.5164270401000977,47.94733428955078,0.0020268841180950403
0.0,1.0,0.2861537567183163,-4.286826133728027,5.033003330230713,-0.9999052882194519,3.055501110793557e-06,-2.9285318851470947,1.2096424102783203,-0.9871128797531128,0.004649796523153782,-2.679373025894165,-0.9053235650062561,0.3528820276260376,852.0,5.0,-724.5062866210938,-724.5062866210938,428.262451171875,428.262451171875,11.230740785598755,5.0,3,6000,534.2479284798235,2.7660229206085205,266.9180908203125,0.13630925118923187
0.0,1.0,0.31609177094058716,-4.601589679718018,4.790937900543213,-0.9999393224716187,1.7939661347554647e-06,-3.264223575592041,0.9649580121040344,-0.999997615814209,6.989264278445262e-08,-2.7079243659973145,-0.928516149520874,0.30824345350265503,1043.3333333333333,6.0,-637.0890502929688,-637.0890502929688,437.0920104980469,437.0920104980469,15.035954713821411,6.0,4,8000,532.0580004571448,3.0860049724578857,47.61366653442383,0.006424248218536377
0.0,1.0,0.3355377842925889,-5.101213455200195,4.78656005859375,-0.9999572038650513,1.340773337688006e-06,-3.745185375213623,0.872944712638855,-0.9978299736976624,0.0006086198263801634,-2.8176379203796387,-0.9424093961715698,0.27709832787513733,1180.0,7.0,-574.648193359375,-574.648193359375,432.608154296875,432.608154296875,18.86325454711914,7.0,5,10000,530.1312122476359,3.5291965007781982,252.52227783203125,0.012735266238451004
0.0,1.0,0.3561801193145948,-4.986205101013184,3.00736403465271,-0.9999672174453735,9.85731844593829e-07,-4.123829364776611,0.486106276512146,-0.9995733499526978,0.000997663359157741,-2.952852487564087,-0.9518330097198486,0.2540585696697235,1282.5,8.0,-527.817626953125,-527.817626953125,423.2113952636719,423.2113952636719,22.740466833114624,8.0,6,12000,527.6936523803295,3.859651565551758,81.03221893310547,0.0005552656948566437
0.0,1.0,0.3856920306112187,-5.167128562927246,4.130337715148926,-0.9999730587005615,7.152557373046875e-07,-3.968596935272217,0.49245506525039673,0.6927081942558289,0.631808876991272,-3.0898690223693848,-0.8388310670852661,0.42054131627082825,1362.2222222222222,9.0,-491.3937683105469,-491.3937683105469,412.0928955078125,412.0928955078125,26.638827085494995,9.0,7,14000,525.5486645514917,3.856020212173462,103.69744110107422,1.2003759145736694
0.0,1.0,0.3856920306112187,-5.495060920715332,4.6156005859375,-0.999975323677063,7.492187705793185e-07,-4.091337203979492,0.31610432267189026,-0.981297492980957,0.006627263966947794,-3.1974194049835205,-0.8294985294342041,0.4358561038970947,1304.6363636363637,11.0,-535.0176391601562,-535.0176391601562,408.42578125,408.42578125,30.518983125686646,11.0,8,16000,524.2638633832272,4.094958305358887,159.1434783935547,0.015673020854592323
0.0,1.0,0.40941986242002637,-4.957300186157227,1.7682585716247559,-0.9999772906303406,6.336060778266983e-07,-4.325165748596191,0.2628641426563263,-0.9149619340896606,0.21312665939331055,-3.3156232833862305,-0.8448485136032104,0.4152979552745819,1362.5833333333333,12.0,-507.0997619628906,-507.0997619628906,401.8508605957031,401.8508605957031,34.55047869682312,12.0,9,18000,520.9768628084183,4.422664165496826,43.783958435058594,1.5009146409283858e-05
0.0,1.0,0.45225423861197256,-5.6401591300964355,2.0249695777893066,-0.9999778866767883,5.930587008151633e-07,-4.998692035675049,0.0301474891602993,-0.9935082197189331,0.016803741455078125,-3.4621663093566895,-0.8513936400413513,0.41492700576782227,1316.9285714285713,14.0,-525.9061889648438,-525.9061889648438,409.9222717285156,409.9222717285156,38.734853744506836,14.0,10,20000,516.3308510706921,5.003872394561768,1.5201274156570435,3.352090425323695e-05
