ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1.5072163,251.8,379.52985,490.0,12,1668,462.8563413619995,420791,-0.0,-0.17237443,0.9985503872158006,0.00045177946,0.0025753845,0.0025753845
1.50763,251.6,379.32245,485.0,12,1680,465.607932806015,423805,-0.0,-0.17338927,0.9868660466745496,0.00046660603,0.0018755356,0.0018755356
1.5328362,251.575,385.63525,490.0,12,1692,468.3685073852539,426823,-0.0,-0.17100064,0.9990401015384123,0.00046503273,0.0020674344,0.0020674344
1.5331099,251.55,385.66614,495.0,12,1704,471.11707377433777,429845,-0.0,-0.16788857,0.9936605109833181,0.00046721598,0.0017524479,0.0017524479
1.5325391,251.75,385.83438,495.0,13,1717,473.8878810405731,433122,-0.0,-0.17038655,0.9982511079870164,0.00049359485,0.0015291298,0.0015291298
1.5565542,251.975,392.21216,500.0,12,1729,476.6204822063446,436148,-0.0,-0.16761023,0.9976049086544663,0.00045291762,0.00069824856,0.00069824856
1.5559794,252.15,392.33957,500.0,12,1741,479.5356101989746,439175,-0.0,-0.16371562,0.9990087606711313,0.00042242743,0.0036662396,0.0036662396
1.5558733,252.075,392.19586,500.0,12,1753,482.28268909454346,442198,-0.0,-0.16135414,0.9985438430448994,0.0004359643,0.0020905368,0.0020905368
1.554533,252.2,392.05222,500.0,12,1765,485.0052523612976,445227,-0.0,-0.16513056,0.9991545405937359,0.0004886652,0.00116897,0.00116897
1.5546191,252.075,391.87915,500.0,13,1778,487.7718176841736,448502,-0.0,-0.16400602,0.9991322657442652,0.000558049,0.0015792005,0.0015792005
1.5557569,252.0,392.0484,500.0,12,1790,490.4938883781433,451523,-0.0,-0.16558935,0.9971480860840529,0.00044986224,0.0019021663,0.0019021663
1.5568733,251.95,392.2514,500.0,12,1802,493.2546052932739,454549,-0.0,-0.16622066,0.9989911559969187,0.00037155786,0.00095945474,0.00095945474
1.5571578,251.925,392.2842,500.0,12,1814,495.98074102401733,457571,-0.0,-0.16119029,0.999315342924092,0.00048639462,0.00047091395,0.00047091395
1.5571306,252.0,392.39474,500.0,12,1826,498.74284076690674,460594,-0.0,-0.16610414,0.998754114843905,0.0004816871,0.0005516593,0.0005516593
1.4950336,257.0,371.69894,485.0,12,1838,517.7302358150482,463821,-0.0,-0.1632166,0.9932814803905785,0.00058298366,0.0018063672,0.0018063672
1.4955083,257.075,371.93466,485.0,12,1850,520.476371049881,466846,-0.0,-0.16290665,0.9986908630235121,0.00042766114,0.0018295752,0.0018295752
1.4969242,257.0,372.1745,485.0,12,1862,523.2354974746704,469867,-0.0,-0.15909582,0.9970060396008193,0.00043095308,0.0012879794,0.0012879794
1.5339168,252.075,386.6118,480.0,12,1874,525.9990589618683,472896,-0.0,-0.1599607,0.9808268304914236,0.00050208165,0.0024799437,0.0024799437
1.5334653,252.125,386.57648,495.0,12,1886,528.7994878292084,475924,-0.0,-0.15687843,0.9981097013223916,0.00045520012,0.0026140278,0.0026140278
1.5317388,252.3,386.4137,495.0,13,1899,532.0770552158356,479204,-0.0,-0.15110753,0.9987766520353034,0.00045012773,0.0017316682,0.0017316682
1.5555508,252.325,392.50314,495.0,12,1911,534.9349744319916,482231,-0.0,-0.14080901,0.9964411400724202,0.00053873024,0.0015543565,0.0015543565
1.5559785,252.25,392.4945,500.0,12,1923,537.7155520915985,485257,-0.0,-0.14387901,0.9990362492389977,0.00041592252,0.00071973354,0.00071973354
1.5562584,252.2,392.48712,500.0,12,1935,540.4876310825348,488284,-0.0,-0.13607055,0.9953237986192107,0.00047548942,0.0012452416,0.0012452416
1.5560453,252.225,392.47223,500.0,12,1947,543.2758204936981,491310,-0.0,-0.1336353,0.9991563149378635,0.00058135815,0.0018860623,0.0018860623
1.5556352,252.2,392.32947,500.0,13,1960,546.0249037742615,494591,-0.0,-0.14436729,0.9987834374187514,0.00045678674,0.0012237361,0.0012237361
1.5547001,252.3,392.24872,500.0,12,1972,548.8059892654419,497619,-0.0,-0.14617051,0.9987539538415149,0.0005543595,0.0013529783,0.0013529783
1.5556681,252.275,392.45435,500.0,12,1984,551.5535576343536,500643,-0.0,-0.1439171,0.9973457518499345,0.0004135292,0.0013027111,0.0013027111
1.5552518,252.225,392.2703,500.0,12,1996,554.2891156673431,503669,-0.0,-0.14225663,0.9989878459600732,0.0005294054,0.00053692394,0.00053692394
1.532638,252.175,386.44547,495.0,12,2008,557.03568816185,506698,-0.0,-0.15469368,0.9831727221608162,0.0005007325,0.0033782863,0.0033782863
1.5330082,252.125,386.46027,495.0,12,2020,559.8628244400024,509722,-0.0,-0.1555969,0.9971873087342829,0.00049799145,0.0024240278,0.0024240278
