eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-11.349578857421875,149,1,38.233585357666016,5,9.79011892923154e-05
139.33333333333334,-118.823563,0.3011418581008911,1457,100,38.27967071533203,500,3.08743619825691e-06
136.85714285714286,-171.91365557142856,0.8020464926958084,1523,200,38.3133544921875,1000,3.628077593020862e-06
136.27272727272728,-173.491498,0.007396280765533447,1553,300,38.35731506347656,1500,820.6456909179688
135.57142857142858,-181.83698714285717,0.5013062059879303,1562,400,38.394065856933594,2000,2.4349901650566608e-05
136.38888888888889,-179.58141116666667,0.7824977040290833,1563,500,38.434730529785156,2500,3.4826298360712826e-05
137.52380952380952,-176.25759166666663,0.021189630031585693,1571,600,38.47188186645508,3000,9.374274668516591e-05
136.16,-183.0999066,0.4352930784225464,1568,700,38.51863098144531,3500,4.460670970729552e-05
135.44827586206895,-188.09956468965515,0.6348601579666138,1573,800,38.55145263671875,4000,5.484122084453702e-05
135.06060606060606,-186.84427699999998,0.9507478214800358,1571,900,38.5925178527832,4500,1.063111994881183e-06
135.69444444444446,-184.8395036111111,0.010712683200836182,1568,1000,38.6386604309082,5000,5.4834272305015475e-05
135.85,-184.117234325,0.8429422825574875,1565,1100,38.68721008300781,5500,4.281166911823675e-05
135.6590909090909,-183.63711843181818,0.9640611819922924,1564,1200,38.736820220947266,6000,7.643224307685159e-06
135.7872340425532,-185.51069706382975,0.026885807514190674,1560,1300,38.785762786865234,6500,8.297873864648864e-05
136.2941176470588,-181.34432547058825,-0.8474646806716919,1543,1400,38.83428955078125,7000,5.081282324681524e-06
136.05555555555554,-183.29798516666668,0.010064959526062012,1543,1500,38.86191177368164,7500,4.907511902274564e-05
136.20689655172413,-182.94488548275865,0.035536766052246094,1551,1600,38.90287399291992,8000,0.00011837315832963213
135.66129032258064,-183.28979109677417,0.17237460613250732,1557,1700,38.943824768066406,8500,4.757878923555836e-05
136.21212121212122,-180.68320092424244,0.6398202776908875,1547,1800,38.97932434082031,9000,1.0544393262534868e-05
137.0,-177.5413942608696,0.4940716624259949,1539,1900,39.02163314819336,9500,3.3057949622161686e-05
138.19444444444446,-172.510387125,0.6282159388065338,1535,2000,39.072532653808594,10000,7.870039731017187e-09
138.17333333333335,-172.3258602666667,0.0,1535,2100,39.101505279541016,10500,3.461699088802561e-05
138.8860759493671,-170.60262032911396,0.8837233483791351,1536,2200,39.14257049560547,11000,1.2748632798320614e-05
138.46341463414635,-172.56515669512197,-0.05453693866729736,1538,2300,39.17714309692383,11500,2.3097087250789627e-05
138.87209302325581,-170.79759874418605,-0.008131861686706543,1545,2400,39.223628997802734,12000,1.54362842295086e-05
138.74157303370785,-170.71075059550563,-0.009616494178771973,1551,2500,39.26656723022461,12500,8.262369192379992e-06
138.59139784946237,-170.9918524516129,-0.00033724308013916016,1557,2600,39.30411148071289,13000,5.690821126336232e-05
138.48453608247422,-172.57983678350516,-0.00031435489654541016,1562,2700,39.33993911743164,13500,3.6759854992851615e-05
