obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.17748984505303073,-0.9852986931800842,0.0,0.7806229591369629,0.005282034166157246,-0.9852986931800842,0.0,-0.6718865633010864,0.10841922461986542,2000.0,1.0,-200.0030059814453,0.0,1.0,1,2000,0.9626115560531616,0.00026789994444698095
0.0,1.0,0.16067924131698763,-1.8264386653900146,1.1920928955078125e-07,0.7806229591369629,0.005282034166157246,-1.8264386653900146,1.1920928955078125e-07,-0.3835214376449585,0.0742834210395813,2000.0,2.0,-200.0030059814453,0.0,2.0,2,4000,1.8124077320098877,0.001906683435663581
0.0,1.0,0.15751322548474425,-2.6119883060455322,0.0,0.7806229591369629,0.005282034166157246,-2.6119883060455322,0.0,0.4573747515678406,0.01797906868159771,2000.0,3.0,-200.0030059814453,0.0,3.0,3,6000,2.582216262817383,0.00605197437107563
0.0,1.0,0.15751322548474425,-8.492776870727539,0.03962773457169533,-0.9921988248825073,5.115688327350654e-05,-8.645431518554688,0.036669764667749405,-0.8397477865219116,0.02646152675151825,1247.8,5.0,-238.5518035888672,47.21757507324219,5.0,4,8000,8.702108383178711,1.17046320438385
0.0,1.0,0.17399259391533256,-8.541069984436035,0.008566740900278091,-0.9918179512023926,5.213738768361509e-05,-8.630468368530273,0.008228804916143417,-0.757983922958374,0.021287648007273674,1373.1666666666667,6.0,-232.12701416015625,45.43463897705078,6.0,5,10000,8.619521141052246,0.030512142926454544
0.0,1.0,0.17056425244126316,-9.256841659545898,0.0018178209429606795,-0.9931737184524536,5.0184597057523206e-05,-9.188873291015625,0.002050756709650159,-0.7834042310714722,0.004219377413392067,1462.7142857142858,7.0,-227.53787231445312,43.5404052734375,7.0,6,12000,9.170241355895996,0.00847675185650587
0.0,1.0,0.1639088940674591,-9.773215293884277,0.0028191746678203344,-0.9940508604049683,0.00018425440066494048,-9.827310562133789,0.002927767811343074,-0.9512459635734558,0.0028938886243849993,1529.875,8.0,-224.09600830078125,41.73392868041992,8.0,7,14000,9.957382202148438,36.390708923339844
0.0,1.0,0.17056425244126316,-12.386385917663574,0.11980652064085007,-0.9980567693710327,1.6422838598373346e-05,-12.126787185668945,0.13058027625083923,-0.9397016167640686,0.004210557788610458,1582.111111111111,9.0,-221.41900634765625,40.069026947021484,9.0,8,16000,12.349201202392578,2.697537422180176
0.0,1.0,0.17748984505303073,-14.950776100158691,0.6298137307167053,-0.9989578723907471,6.639107141381828e-06,-15.132575988769531,0.6496070027351379,-0.9868749976158142,0.0016889325343072414,1623.9,10.0,-219.2774200439453,38.55194091796875,10.0,9,18000,14.502493858337402,0.07495365291833878
0.0,1.0,0.18105739093859663,-15.718257904052734,0.740554928779602,-0.9992390871047974,4.661569164454704e-06,-15.892414093017578,0.755942165851593,-0.9851720333099365,0.003747832030057907,1658.090909090909,11.0,-217.5251922607422,37.17312240600586,11.0,10,20000,15.051302909851074,0.10417905449867249
0.0,1.0,0.18469664449646242,-18.14335060119629,1.0900442600250244,-0.9996106028556824,1.7493163113613264e-06,-18.790372848510742,1.1975600719451904,-0.9999445676803589,8.64765934238676e-06,1686.5833333333333,12.0,-216.06500244140625,35.91853332519531,12.0,11,22000,17.380496978759766,36.6921501159668
0.0,1.0,0.18469664449646242,-20.486190795898438,1.4089733362197876,-0.9997928738594055,7.251600777635758e-07,-20.692264556884766,1.426613688468933,-0.20273320376873016,0.06700009107589722,1710.6923076923076,13.0,-214.82945251464844,34.77381134033203,13.0,12,24000,19.0170955657959,0.10188299417495728
0.0,1.0,0.19605920988138417,-20.821826934814453,1.54734206199646,-0.9998559355735779,3.3228252505068667e-07,-20.927717208862305,1.5855827331542969,-0.8092650771141052,0.05029051750898361,1731.357142857143,14.0,-213.77041625976562,33.72574234008789,14.0,13,26000,19.18814468383789,34.78009033203125
0.0,1.0,0.18840904705084133,-20.97019386291504,1.6439001560211182,-0.9998990297317505,1.3307162305409292e-07,-21.044757843017578,1.6588627099990845,-0.9999277591705322,1.090431851480389e-05,1749.2666666666667,15.0,-212.8525848388672,32.76264190673828,15.0,14,28000,19.203266143798828,0.0751032903790474
0.0,1.0,0.18469664449646242,-21.268505096435547,1.951493740081787,-0.999928891658783,6.40923190076137e-08,-21.317920684814453,1.994156002998352,-0.999897301197052,2.775706525426358e-05,1764.9375,16.0,-212.0495147705078,31.874418258666992,16.0,15,30000,19.279823303222656,0.14063873887062073
0.0,1.0,0.19219606889656324,-21.707578659057617,2.240216016769409,-0.9999580383300781,6.909384353548376e-08,-21.846040725708008,2.23335862159729,0.9092425107955933,0.26603835821151733,1778.764705882353,17.0,-211.3408966064453,31.052364349365234,17.0,16,32000,19.738765716552734,1.909104824066162
0.0,1.0,0.17399259391533256,-21.57721710205078,2.2318673133850098,-0.9999724626541138,1.1662003629453466e-07,-21.568628311157227,2.244931221008301,-0.9018073081970215,0.024891002103686333,1791.0555555555557,18.0,-222.0728302001953,53.55978012084961,18.0,17,34000,19.480209350585938,0.2292419970035553
0.0,1.0,0.17748984505303073,-21.628835678100586,2.5071239471435547,-0.9999810457229614,1.2377833513710357e-07,-21.920963287353516,2.4434597492218018,-0.9999940395355225,1.5802434063516557e-06,1802.0526315789473,19.0,-220.9112548828125,52.363677978515625,19.0,18,36000,18.962255477905273,13.321381568908691
0.0,1.0,0.18105739093859663,-20.734867095947266,2.2266297340393066,-0.9999884963035583,6.452392398159645e-08,-20.77890396118164,2.209376573562622,-0.9751899838447571,0.007300751283764839,1811.95,20.0,-219.8658447265625,51.240821838378906,20.0,19,38000,18.59308433532715,0.04499104991555214
0.0,1.0,0.17748984505303073,-19.875648498535156,2.2072300910949707,-0.9999934434890747,3.161013495400766e-08,-19.843509674072266,2.1940066814422607,-0.9228541254997253,0.023281488567590714,1799.9545454545455,22.0,-222.49205017089844,51.69102478027344,22.0,20,40000,18.2974853515625,0.08271041512489319
0.0,1.0,0.17399259391533256,-19.694656372070312,2.0557806491851807,-0.9999967813491821,7.028863535651908e-08,-19.70721435546875,2.0398738384246826,-0.9963903427124023,0.0009235574398189783,1808.6521739130435,23.0,-221.51426696777344,50.762420654296875,23.0,21,42000,18.219337463378906,0.0436350479722023
0.0,1.0,0.17748984505303073,-18.67119598388672,2.0914041996002197,-0.9999980926513672,6.322026990801533e-08,-18.634172439575195,2.0721938610076904,-0.9998104572296143,4.998563235858455e-05,1816.625,24.0,-220.6179962158203,49.879180908203125,24.0,22,44000,17.17300033569336,0.04827288165688515
0.0,1.0,0.17748984505303073,-17.82416534423828,1.9084686040878296,-0.999998927116394,3.942476567431186e-08,-17.747568130493164,1.8899810314178467,-0.9999995231628418,1.3978528556890524e-07,1823.96,25.0,-219.79339599609375,49.0380973815918,25.0,23,46000,16.375944137573242,0.05631690472364426
0.0,1.0,0.17056425244126316,-18.59215545654297,1.877469539642334,-0.999999463558197,6.098562721490453e-08,-18.759052276611328,1.8717224597930908,0.5742782950401306,0.4127788245677948,1830.7307692307693,26.0,-219.0322265625,48.23617935180664,26.0,24,48000,17.34680938720703,0.07011251896619797
0.0,1.0,0.18105739093859663,-18.574275970458984,1.7128689289093018,-0.9999998807907104,8.29661530588055e-08,-18.43146514892578,1.7110846042633057,-0.9999961853027344,1.0297176231688354e-06,1837.0,27.0,-218.3274383544922,47.47071838378906,27.0,25,50000,17.268892288208008,14.181041717529297
0.0,1.0,0.2,-17.73641014099121,1.5201914310455322,-0.9999998807907104,5.960464477539063e-08,-17.733356475830078,1.5039231777191162,-0.9997051358222961,6.460575241362676e-05,1842.8214285714287,28.0,-217.67298889160156,46.73918533325195,28.0,26,52000,16.55889320373535,0.11915665864944458
0.0,1.0,0.19219606889656324,-19.260662078857422,1.6734164953231812,-0.9999998807907104,6.188916756855178e-08,-19.264909744262695,1.6984838247299194,-0.9999405145645142,1.4035873391549103e-05,1848.2413793103449,29.0,-217.0636749267578,46.039306640625,29.0,27,54000,17.522390365600586,0.10742951184511185
