eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
107.17,-252.93052050999995,0.9922862001694739,1215,5100,2.5279431343078613,1.5240516662597656,102000,0.4534367620944977
107.23,-252.93319731999998,0.9338680356740952,1217,5200,2.543421745300293,2.1062629222869873,104000,8.266595840454102
107.25,-253.21872811999998,0.3187333941459656,1220,5300,2.594852924346924,15.009926795959473,106000,36.024757385253906
107.68,-253.37881020000003,-8.344650268554688e-07,1220,5400,2.6316845417022705,16.038715362548828,108000,44.48324966430664
108.1,-253.30774636,0.983414426445961,1219,5500,2.612816333770752,0.8540682792663574,110000,0.20318305492401123
108.41,-253.05226568,0.822837769985199,1219,5600,2.6706933975219727,8.729747772216797,112000,12.876498222351074
108.28,-252.98333571,0.933837316930294,1220,5700,2.690835952758789,2.400305986404419,114000,1.053558349609375
108.95,-251.36202676999997,0.9865561677142978,1222,5800,2.7091946601867676,-0.3070218861103058,116000,0.06443419307470322
109.33,-250.2132802,0.9503720104694366,1223,5900,2.702929735183716,4.3120436668396,118000,3.3324737548828125
109.39,-249.27444178000002,0.6059480011463165,1224,6000,2.7198233604431152,12.157873153686523,120000,23.083057403564453
109.27,-248.64703481999996,0.9857084481045604,1225,6100,2.7422385215759277,2.7269983291625977,122000,1.9722368717193604
109.92,-246.84736089999996,0.9179658219218254,1225,6200,2.7462844848632812,5.73233699798584,124000,13.3363618850708
110.23,-245.11449789999998,-1.3470649719238281e-05,1226,6300,2.7503645420074463,-82.1903076171875,126000,5809.0732421875
111.03,-243.27673457,0.9553015008568764,1225,6400,2.8119211196899414,-0.4481717348098755,128000,0.14434656500816345
111.98,-241.47659676,-2.0384788513183594e-05,1224,6500,2.848125457763672,-139.2659454345703,130000,8314.734375
113.0,-239.36769532,0.9638356566429138,1223,6600,2.8214337825775146,1.8339695930480957,132000,3.263361692428589
113.7,-237.69690652999998,-0.0005905628204345703,1224,6700,2.789412021636963,-234.63214111328125,134000,13056.2314453125
115.0,-235.12293667000003,0.9830133449286222,1225,6800,2.796072483062744,-0.0025218091905117035,136000,0.10233442485332489
116.6,-231.75498484999997,-0.00010442733764648438,1226,6900,2.7968204021453857,-368.44580078125,138000,18041.53515625
118.49,-228.58011838000002,0.9527431130409241,1227,7000,2.8126611709594727,1.9877277612686157,140000,0.7318261861801147
120.77,-224.32244759000002,0.8304140418767929,1227,7100,2.8187689781188965,-5.206888675689697,142000,25.344743728637695
122.1,-221.98283478999994,0.9522337093949318,1228,7200,2.757847309112549,-0.7458094954490662,144000,0.15682028234004974
123.48,-219.66708179,0.9819849096238613,1229,7300,2.7500624656677246,-1.3973257541656494,146000,0.3280886113643646
124.35,-217.82475683000004,0.8808446899056435,1229,7400,2.743109703063965,-8.648588180541992,148000,26.64165687561035
124.75,-217.23997035000005,0.7068742513656616,1230,7500,2.7125749588012695,13.216201782226562,150000,31.789928436279297
125.04,-215.55392506,0.9920730702579021,1230,7600,2.720649242401123,0.3847271800041199,152000,0.040168143808841705
124.94,-214.73642222000007,0.8728983253240585,1231,7700,2.718982696533203,-13.11845588684082,154000,44.700645446777344
124.19,-216.45565229999997,-0.00042426586151123047,1231,7800,2.7141222953796387,-233.5672149658203,156000,12379.517578125
124.25,-217.86281387,0.9793181996792555,1232,7900,2.73506498336792,-0.8707026839256287,158000,0.1207563653588295
124.21,-218.59080821999999,-0.0008292198181152344,1232,8000,2.7260711193084717,-353.96490478515625,160000,20029.126953125
123.81,-220.27083052999998,1.0728836059570312e-06,1233,8100,2.706249475479126,8.690735816955566,162000,16.246049880981445
123.3,-223.31677331999998,5.245208740234375e-06,1234,8200,2.7354519367218018,10.53635025024414,164000,15.969259262084961
123.21,-225.83229832,0.9933462082408369,1234,8300,2.7517759799957275,-1.3821284770965576,166000,0.247189000248909
124.41,-223.59161968999996,0.9190547615289688,1235,8400,2.799861431121826,-0.2604386508464813,168000,1.2653517723083496
124.73,-220.97761539999996,0.9668495915830135,1235,8500,2.796351432800293,-1.527679681777954,170000,0.3088957667350769
125.91,-216.34841412000003,0.09405159950256348,1236,8600,2.808534622192383,-379.2084045410156,172000,20053.69140625
127.1,-212.16646052,0.1783882975578308,1237,8700,2.7826943397521973,1.4953256845474243,174000,0.42288094758987427
135.35,-212.56537714,0.9205375239253044,1238,8800,2.7878808975219727,3.782650947570801,176000,1.800353765487671
135.07,-212.22931561000001,0.6805048882961273,1239,8900,2.7881693840026855,7.86529541015625,178000,11.204450607299805
134.06,-213.64019487999997,0.939914882183075,1240,9000,2.7788500785827637,-1.5423201322555542,180000,0.36150631308555603
133.55,-215.23432797000004,0.8484016060829163,1240,9100,2.7452006340026855,3.147015333175659,182000,1.2501248121261597
133.47,-217.58862373000002,0.9389119818806648,1241,9200,2.7499780654907227,0.44272929430007935,184000,0.10733018815517426
132.91,-220.36931467000002,0.973555563017726,1242,9300,2.746654510498047,-0.6748659014701843,186000,0.08760414272546768
124.09,-220.76215352999995,0.8089622259140015,1242,9400,2.7873239517211914,2.2302422523498535,188000,0.8877571225166321
133.01,-221.13425751,0.9931424427777529,1243,9500,2.801288604736328,0.6686041355133057,190000,0.08485828340053558
141.55,-221.12058140000005,0.636819064617157,1244,9600,2.825183391571045,0.21718308329582214,192000,0.0126539571210742
149.88,-223.21716603000002,-0.19136691093444824,1245,9700,2.8355937004089355,-3.9775753021240234,194000,3.230708599090576
149.3,-224.55184816999994,-0.008585453033447266,1245,9800,2.830749034881592,-326.60626220703125,196000,18230.28515625
147.51,-227.0608022,0.9809050187468529,1246,9900,2.864079475402832,-0.11906515061855316,198000,0.027582546696066856
145.27,-232.77799142,0.7661467343568802,1246,10000,2.873366594314575,-30.854249954223633,200000,131.9671630859375
143.24,-237.04182400000002,-0.0020644664764404297,1246,10100,2.8844285011291504,-302.61798095703125,202000,16298.71875
115.54,-241.64607576999998,0.9093547314405441,1247,10200,2.876922130584717,-14.08297348022461,204000,51.48356246948242
114.91,-242.81813567,0.9606989398598671,1247,10300,2.8801212310791016,0.1325380653142929,206000,0.12490264326334
114.07,-243.93205485,0.0,1247,10400,2.8655879497528076,0.27099907398223877,208000,6.524700164794922
114.04,-244.27520455,0.9712962880730629,1247,10500,2.897541046142578,-3.5781400203704834,210000,1.671181321144104
114.68,-242.14593054000008,-0.00023651123046875,1247,10600,2.9125819206237793,-274.789306640625,212000,14961.037109375
115.86,-238.89574226000002,0.9759450536221266,1247,10700,2.884890556335449,-2.204218864440918,214000,0.5508923530578613
115.94,-238.34597090000003,0.842535987496376,1247,10800,2.8722620010375977,-3.404423236846924,216000,2.2512409687042236
115.67,-238.61659077999997,0.9931284515187144,1247,10900,2.883798599243164,0.6027505993843079,218000,0.06833705306053162
115.42,-239.41421871000003,0.9335071444511414,1248,11000,2.8694052696228027,-14.549670219421387,220000,41.007572174072266
114.89,-240.43607011000003,1.1920928955078125e-07,1249,11100,2.887864112854004,-9.765912055969238,222000,21.58096694946289
114.13,-243.10942366000003,-0.006029844284057617,1249,11200,2.8890738487243652,-385.8971252441406,224000,20385.935546875
112.77,-246.7851462,0.7323906123638153,1250,11300,2.8981471061706543,0.3755026161670685,226000,1.7891099452972412
112.58,-247.6676644,0.9600524343550205,1251,11400,2.9367427825927734,-1.8061363697052002,228000,4.172331809997559
112.7,-248.25557814,-0.0010527372360229492,1251,11500,2.943744659423828,-358.8380432128906,230000,17905.06640625
113.45,-247.93933467,0.0,1251,11600,2.9922966957092285,14.353267669677734,232000,32.53290939331055
114.51,-246.19943802,-0.01033008098602295,1251,11700,3.007735252380371,-325.9048767089844,234000,16380.703125
115.6,-243.44692701,0.221174418926239,1251,11800,3.0208301544189453,-440.0546875,236000,22003.611328125
116.27,-241.28305554,0.3682473301887512,1251,11900,3.0259737968444824,-440.7413024902344,238000,22093.099609375
117.0,-239.19263080000005,-0.001715540885925293,1251,12000,3.0390548706054688,-313.7696838378906,240000,16670.65234375
118.41,-237.36296563999997,0.9526517428457737,1251,12100,3.043076992034912,-0.10105552524328232,242000,0.10620012134313583
118.65,-236.61508075999998,0.9120254591107368,1251,12200,3.068617582321167,5.620176792144775,244000,10.928813934326172
127.37,-236.32712367,0.8662775903940201,1251,12300,3.0564751625061035,-4.416232109069824,246000,2.265418767929077
136.7,-235.58206430000007,0.9152854532003403,1251,12400,3.0586957931518555,6.743078231811523,248000,4.96272611618042
137.41,-234.26288108000006,1.4901161193847656e-06,1251,12500,3.0706050395965576,13.438005447387695,250000,25.3535213470459
138.29,-231.05731948999997,0.9595390856266022,1251,12600,3.109858751296997,0.12507931888103485,252000,0.07813683897256851
139.76,-227.00695282000004,-1.1920928955078125e-07,1252,12700,3.0924124717712402,10.695769309997559,254000,18.66634750366211
140.12,-224.89533041,0.9841658435761929,1252,12800,3.041675567626953,-0.9071598649024963,256000,1.311206340789795
140.76,-221.27762103999999,0.9130390360951424,1252,12900,3.0514774322509766,-1.299724817276001,258000,0.3350040316581726
132.28,-219.43128829999998,0.856554701924324,1252,13000,3.0797457695007324,6.618093013763428,260000,5.22445011138916
123.86,-218.46855506,-0.006532907485961914,1253,13100,3.10595440864563,-345.7994689941406,262000,17398.833984375
124.44,-218.40961389,0.9705672115087509,1253,13200,3.1041109561920166,-0.653761625289917,264000,0.14451266825199127
123.42,-220.76149149,-0.14995908737182617,1254,13300,3.1067285537719727,0.21267952024936676,266000,0.0066946423612535
132.03,-220.66782528000005,0.8855709806084633,1254,13400,3.1170718669891357,-1.9515711069107056,268000,0.5573236346244812
131.35,-222.07324491,0.9941665814258158,1254,13500,3.125046730041504,-0.48419642448425293,270000,0.031030401587486267
129.8,-225.66557458,0.9846742358058691,1255,13600,3.1334986686706543,-0.1269412487745285,272000,0.033807214349508286
130.37,-225.63350762,0.9771070070564747,1255,13700,3.120297431945801,-1.4862929582595825,274000,0.24767716228961945
130.41,-223.60000652999994,0.9906157283112407,1255,13800,3.1390280723571777,0.3784256875514984,276000,0.028513845056295395
131.11,-221.32443739999997,1.1920928955078125e-07,1255,13900,3.1292214393615723,9.568120002746582,278000,10.409688949584961
123.04,-220.64059632000001,1.430511474609375e-06,1255,14000,3.1485729217529297,9.014984130859375,280000,9.770068168640137
123.66,-217.65358933,3.4570693969726562e-06,1255,14100,3.164724349975586,8.731433868408203,282000,9.836183547973633
125.45,-213.78654211,0.9091733694076538,1255,14200,3.177903652191162,6.028090953826904,284000,6.628976345062256
126.33,-210.87633311,0.9931484810076654,1254,14300,3.1740612983703613,-0.20041227340698242,286000,0.008764853700995445
126.75,-208.98553449000002,0.0012580156326293945,1254,14400,3.1546664237976074,7.520709991455078,288000,7.7837677001953125
135.98,-209.55264947,0.974483635276556,1254,14500,3.166912317276001,-0.3099174201488495,290000,0.043459124863147736
136.78,-207.28470995,0.676440566778183,1254,14600,3.1774067878723145,-1.3356668949127197,292000,0.3369453549385071
145.77,-204.9174742,0.9318904429674149,1254,14700,3.2019450664520264,-0.8124539852142334,294000,0.08711349964141846
155.29,-201.24824314999998,0.4350290298461914,1254,14800,3.220684766769409,5.366940021514893,296000,3.6317336559295654
158.44,-196.22773092999995,0.9438259266316891,1255,14900,3.2130959033966064,-0.5168953537940979,298000,0.04282822459936142
159.93,-192.62895109000002,-0.12991797924041748,1255,15000,3.2049033641815186,200.79933166503906,300000,6012.95166015625
159.54,-193.10983121,0.0014383792877197266,1255,15100,3.180790424346924,-395.14501953125,302000,16725.955078125
160.4,-191.815198,0.0006213784217834473,1254,15200,3.187195301055908,-380.17181396484375,304000,18650.77734375
160.44,-191.99407900999998,3.8623809814453125e-05,1254,15300,3.205812931060791,0.1996217966079712,306000,0.007357709109783173
177.68,-191.79994841000004,0.9976809357758611,1255,15400,3.222167491912842,0.1678038090467453,308000,0.005149929318577051
177.34,-192.46558247000002,0.21881961822509766,1255,15500,3.2569496631622314,0.20889468491077423,310000,0.006853429134935141
177.16,-193.83420474,-0.019719481468200684,1255,15600,3.268157482147217,-0.08085158467292786,312000,0.00027067348128184676
185.57,-196.96217018000004,0.9249304831027985,1254,15700,3.315350294113159,0.059461791068315506,314000,0.04624239355325699
193.66,-200.27509898,0.8620702624320984,1255,15800,3.3225388526916504,-0.7054867744445801,316000,0.06398948282003403
191.26,-204.04318875,0.000901341438293457,1255,15900,3.3536505699157715,-291.8371887207031,318000,12953.037109375
190.64,-206.75478889,0.978289695456624,1255,16000,3.3710618019104004,0.17879541218280792,320000,0.016377126798033714
189.49,-208.59455619,4.76837158203125e-07,1254,16100,3.3976047039031982,-195.8155059814453,322000,9566.275390625
162.21,-210.76813583999999,-1.4227662086486816,1254,16200,3.3841347694396973,-4.138484954833984,324000,2.695005416870117
152.42,-214.20323351000002,0.0025873184204101562,1254,16300,3.3784193992614746,-475.2313537597656,326000,21228.724609375
134.2,-214.94200030000005,0.8872422873973846,1255,16400,3.3492984771728516,-10.394760131835938,328000,15.715211868286133
124.89,-214.44352732,-1.1920928955078125e-07,1255,16500,3.3163883686065674,6.987744331359863,330000,6.267373085021973
124.08,-214.61458821,0.9044056385755539,1256,16600,3.295501708984375,-0.41383248567581177,332000,1.1996642351150513
124.34,-214.47785099000004,0.9447946771979332,1256,16700,3.30334734916687,0.8539154529571533,334000,0.1024482250213623
123.98,-214.32134549999995,0.9825959671288729,1256,16800,3.2898573875427246,-0.6169676184654236,336000,0.05086277797818184
124.44,-213.20894997,0.9869978120550513,1256,16900,3.340276002883911,-0.42509663105010986,338000,0.2202650010585785
125.18,-212.02447849,9.715557098388672e-06,1256,17000,3.356815814971924,-177.46090698242188,340000,8470.193359375
126.39,-209.73509229999996,-1.1920928955078125e-07,1256,17100,3.3802661895751953,7.3478169441223145,342000,6.042889595031738
126.97,-208.70871163999996,0.9946979149244726,1256,17200,3.4080967903137207,0.6259319186210632,344000,0.03882814571261406
128.16,-205.79647626000005,8.940696716308594e-07,1257,17300,3.4142730236053467,-199.38853454589844,346000,8346.650390625
129.24,-203.89146481000003,0.9796580150723457,1257,17400,3.3863494396209717,0.3560006022453308,348000,0.023237261921167374
130.02,-202.20272843999996,0.9934253529645503,1257,17500,3.355614185333252,-0.2965942621231079,350000,0.009742092341184616
139.29,-201.36475281,0.024867773056030273,1257,17600,3.3540186882019043,-483.975341796875,352000,21150.33203125
147.93,-202.25413517999996,0.883018471300602,1257,17700,3.374722957611084,0.15886090695858002,354000,0.003449517535045743
165.78,-204.16969925000004,0.5992724299430847,1257,17800,3.397087812423706,-0.2751408815383911,356000,0.13242459297180176
174.71,-203.71752817,-2.0781846046447754,1257,17900,3.4199020862579346,-0.03354359790682793,358000,4.384637719567763e-08
192.44,-203.11746571,0.8957938924431801,1258,18000,3.4588348865509033,1.2403919696807861,360000,0.19459906220436096
201.31,-204.32776458,0.26410603523254395,1258,18100,3.5131778717041016,-0.029175836592912674,362000,4.748925675812643e-06
218.95,-207.79709837,-84.87013244628906,1258,18200,3.554133653640747,-0.3998952805995941,364000,0.024426043033599854
236.55,-207.52900735,-1.4866266250610352,1258,18300,3.5946266651153564,5.64479398727417,366000,3.22942852973938
245.39,-208.73744539000003,-249.30557250976562,1258,18400,3.625779628753662,0.32360053062438965,368000,0.013759064488112926
262.68,-210.18994499000004,-1.2703404426574707,1258,18500,3.6682960987091064,-0.02219076082110405,370000,1.719904685160145e-05
280.47,-211.35231387,0.6825281977653503,1259,18600,3.712256669998169,-0.010995723307132721,372000,6.153756112325937e-05
297.93,-212.54034037999998,-0.0008224248886108398,1259,18700,3.767174482345581,0.07912109792232513,374000,0.0012176043819636106
306.77,-212.47867258,-0.00011277198791503906,1259,18800,3.8219590187072754,-0.018885498866438866,376000,3.3385898859705776e-05
324.26,-215.21348002,-0.0021545886993408203,1259,18900,3.869375705718994,-0.06434082239866257,378000,6.068043876439333e-05
341.96,-216.70467621,0.4993373155593872,1259,19000,3.91160249710083,-0.04029189050197601,380000,9.08076813743719e-08
359.34,-220.49870723999996,-0.018850326538085938,1260,19100,3.9447128772735596,2.3888657093048096,382000,0.46623334288597107
376.71,-223.24683681000002,-0.14957809448242188,1259,19200,3.9927592277526855,3.550295352935791,384000,0.8296939730644226
394.15,-225.81293795,-9.177224159240723,1259,19300,4.042518138885498,11.449796676635742,386000,7.647777557373047
402.89,-227.10143447000002,0.22332042455673218,1259,19400,4.080979824066162,-0.03552079573273659,388000,2.2509707378048915e-06
420.52,-228.46321657000001,-0.07149386405944824,1259,19500,4.119555473327637,-0.044648993760347366,390000,9.589251703800983e-07
437.58,-231.22755264999995,0.20193934440612793,1258,19600,4.158746242523193,-58.45811080932617,392000,502.8729553222656
427.25,-235.23022572,0.8010396063327789,1258,19700,4.155519962310791,1.0286065340042114,394000,0.13810010254383087
398.77,-238.15764963000004,0.3477422595024109,1259,19800,4.131978988647461,-36.71095657348633,396000,377.8359069824219
343.34,-240.39083469000002,0.9830067045986652,1259,19900,4.118803977966309,-0.8673157691955566,398000,0.043088216334581375
252.62,-241.56409492000003,0.4121837019920349,1259,20000,4.1424078941345215,-128.3688201904297,400000,1047.066650390625
170.93,-240.17417539000004,0.9914057562127709,1259,20100,4.174376010894775,-1.4673088788986206,402000,0.13450126349925995
116.1,-239.95783692999998,0.682303786277771,1258,20200,4.191507339477539,-0.5263332724571228,404000,0.17023371160030365
115.46,-240.83471189,0.9746957011520863,1258,20300,4.178204536437988,0.8911363482475281,406000,0.054912108927965164
115.3,-240.64311222000003,0.8537132889032364,1258,20400,4.187017917633057,-28.89263916015625,408000,75.41089630126953
116.07,-238.81343318999996,-0.0008852481842041016,1257,20500,4.20795202255249,-419.75579833984375,410000,15007.041015625
116.6,-236.86141977000003,0.00032573938369750977,1257,20600,4.207201957702637,14.726016998291016,412000,14.401410102844238
117.31,-234.54053542999998,0.00022023916244506836,1257,20700,4.1918792724609375,14.373072624206543,414000,16.366214752197266
117.67,-233.91830968000005,0.9423635490238667,1257,20800,4.209873676300049,-16.090953826904297,416000,25.593847274780273
117.07,-234.95819323999996,-0.0016944408416748047,1258,20900,4.247184753417969,-569.2868041992188,418000,19740.00390625
116.11,-236.75774135,0.9529525227844715,1258,21000,4.240292549133301,-0.8441381454467773,420000,0.0993025004863739
115.16,-239.33475153999996,0.8527352660894394,1258,21100,4.203486442565918,4.998286247253418,422000,2.230586528778076
114.85,-240.65234299000002,0.9940532729960978,1258,21200,4.186091899871826,1.3148183822631836,424000,0.1204138994216919
114.64,-241.27542172999998,0.99432536913082,1258,21300,4.178703308105469,-0.944162905216217,426000,0.06279169023036957
114.78,-241.11464141,0.8567538410425186,1258,21400,4.181857109069824,10.259950637817383,428000,7.017064571380615
115.58,-239.56261038999997,0.9947433439083397,1258,21500,4.187320709228516,-0.37988778948783875,430000,0.02473197877407074
116.68,-237.61188059,0.9960358622483909,1258,21600,4.220319747924805,0.6170076131820679,432000,0.32121559977531433
117.63,-235.42264764,0.6915864646434784,1258,21700,4.2358293533325195,13.220454216003418,434000,11.36308765411377
118.81,-233.33085644000002,0.9935359130613506,1258,21800,4.230490684509277,-1.6280983686447144,436000,0.15039770305156708
119.25,-232.01169286999996,0.994961233343929,1258,21900,4.215092658996582,-0.22950807213783264,438000,0.41997474431991577
119.99,-230.56623987,0.9542936533689499,1257,22000,4.225276947021484,6.669127464294434,440000,2.789773464202881
120.38,-230.16214854999998,0.2688751816749573,1257,22100,4.264736175537109,4.360589027404785,442000,9.476471900939941
121.18,-228.05245972000003,-0.00839090347290039,1257,22200,4.237518310546875,8.24545669555664,444000,22.54635238647461
121.42,-227.11899728000003,0.9962699548341334,1257,22300,4.242376804351807,-1.0077828168869019,446000,0.05714264512062073
121.37,-225.96108303,0.951869510114193,1257,22400,4.243489742279053,-0.10700605809688568,448000,0.07359428703784943
121.03,-226.14599026,0.998276544502005,1257,22500,4.283751010894775,0.27440494298934937,450000,0.007692272774875164
120.79,-226.4351269,4.112720489501953e-06,1257,22600,4.269371032714844,16.189281463623047,452000,19.11557960510254
120.45,-226.64893586999992,-0.0009150505065917969,1257,22700,4.299235820770264,-245.97113037109375,454000,9168.8603515625
119.79,-228.08836319000002,0.999277212889865,1257,22800,4.267367839813232,-0.22643423080444336,456000,0.0031504768412560225
119.39,-229.21194845000002,0.8404075503349304,1257,22900,4.268790245056152,16.988964080810547,458000,25.638463973999023
119.96,-228.19182204,0.9966678509954363,1258,23000,4.26341438293457,-0.29463082551956177,460000,0.010958727449178696
120.51,-228.04951649999998,-0.005558490753173828,1258,23100,4.253795146942139,-376.73974609375,462000,14459.154296875
119.91,-229.80986545000005,0.9122244566679001,1258,23200,4.254181385040283,-23.04998016357422,464000,52.024864196777344
119.98,-230.74220563000003,-0.001343369483947754,1258,23300,4.248241901397705,-247.0487060546875,466000,8341.408203125
118.92,-232.95685113,0.9795881789177656,1258,23400,4.233184337615967,-0.2292565256357193,468000,0.03892398625612259
119.14,-233.18302426999998,-0.0037630796432495117,1258,23500,4.2614545822143555,-399.47393798828125,470000,14907.0703125
118.68,-234.99022463999998,0.99881162494421,1258,23600,4.265167713165283,0.5053048133850098,472000,0.021583842113614082
118.18,-235.62754942999996,0.9996052182686981,1259,23700,4.233641147613525,0.06390022486448288,474000,0.0017042787512764335
118.26,-235.10511793,0.9950565812177956,1259,23800,4.253781318664551,0.17624028027057648,476000,0.022675752639770508
118.22,-234.21201398000002,0.9997328288154677,1259,23900,4.238478660583496,-0.017950234934687614,478000,0.0007194323115982115
118.9,-232.54864878000004,0.9707608167082071,1259,24000,4.209089279174805,-0.19621877372264862,480000,0.04956390708684921
118.4,-233.83145949000001,0.7844651788473129,1259,24100,4.199045181274414,-3.632286310195923,482000,17.397994995117188
117.46,-236.90495820999996,-0.008540749549865723,1259,24200,4.216671943664551,-549.4561157226562,484000,20550.076171875
116.57,-239.71701588,0.9962162205483764,1259,24300,4.211122035980225,-0.0832202211022377,486000,0.008885091170668602
116.32,-241.33027535000005,0.9652723371982574,1259,24400,4.195284366607666,-6.662268161773682,488000,2.421055793762207
